content	label
ابشر طال عمرك	Other
وش للتبديل الغبي ذا؟؟؟؟؟؟	Other
فيه فلم مدري مسلسل نزل ل زياد العمري لي اسبوعين ادور عليه اتوقع اسمه ( جُرذ ) كيف اشوفه او بس يعرض على صالات السينما؟	Other
يعني الجبال الباقيه على الارض مديلها جديد ولا خلقت الا بعد ذا الاحفوره !!!	Other
قويه قدام الغياب مايهزمني بُعد مخلوق مثل م حبيتك اقدر اكرهك .	Other
لاماله علاقه السجل تواصلي مع شركة اللي كنتي فيها هي سبب الرفض	Other
الله لا يحرمني منها يارب	Other
USER العيون تحكم ياما نخدعنابالنظاره	Other
اذا ندمت اني كلمت شخص احذف المحادثه وبكذا احس اني ماسويت شي.	Hijazi
USER مبروك وعقبال الدوري يارب	Other
USER وجععع شررر شرررررررر	Other
خساره ما لحقت قبل العشر دقايق	Other
ماقول غير ياحظ الي بيشوفك بالعيد بالوردي حياتهم بتصير زي لون الفستان العيد حقه بيصير لونه وردي	Other
USER لما اقول لكم علموني السواقه URL …	Other
الاختبارات جت والضغوط جت ولا يحتاج اقول النفسيه وش بتصير	Other
مساء النور يالسهلاوي	Hijazi
انا حامل فشهر ثالث وفصيلتى سالبة متى اخذ الابرة حقت الفصيلة	Hijazi
كُنت روحي .. لمّا كان جوّايا روح.	Hijazi
USER يابتاع المخدات انت هههههههه	Other
USER USER إنسان مريض يريد الشهره على حساب النصر ...وبالنسبه للاعب خذناه غصب عنك وعن ناديك ....دق خشوم	Other
مابي من هالدنيا الا انت #صفوان_عشقي	Hijazi
اجي وعندي عزبه القهوه والشاهي والطبخ	Other
صباَح الـ: ياكثرك في باليّ ويابُعدك عن عيونِي.	Other
ترى ناقص الشباب ٤ لاعبين اساسيين بالاضافه الى الحظ كورتين بالقايم وبلنتي ضاع	Other
طلعتي من دوامك ؟	Other
USER في مفاجأة لك بكرة	Other
مايحتاج مجيد ماشاء الله منجد برز نفسه وبقوه URL …	Other
حريم انسجنوا (25) سنة مع بعض أول ما طلعوا من السجن وقفوا عند باب السجن ساعتين يسولفون	Other
اجلد هم جلد	Other
شوفلي تذكره تكفى تكفى تكفى	Hijazi
- ابسط انواع العذاب غرفة ما يوصلها النت ›	Other
ياخي اغبياء مرا	Hijazi
مشكله السنقل لما يصور صور حلوه ومايدري يوريها مين...	Other
متزاعلين عشان درجه	Other
المقطع ذا فعلا قديم؟	Other
الصراحه مشكله تكون صاحي لهالوقت وتفكر ولحالك	Other
مشيت كثير وسيارتي بعيده بديت اخاف	Other
وين باقي الشيعه تعرف انه الحق للتسنن والتشيع عذاب وتلاعب	Other
﮼هههههههههههههههههههههههههههه تذكرني بالنظام القديم	Other
"- إحفظ بنات الناس تستر خواتك ، ومن دق باب الخلق مدقوق بابه ! \""	Other
ياشين التكبر والغرور	Other
ممتاز احتاجها ماالقى نسخة مجانية في سورس معين	Other
USER كلام سليم يا شيخنا بدال التصوير وعض والتميلح URL	Other
"\" USER : شوفة الأحباب صارت صعبه صعبه .\""	Other
#جملة_مافي_أم_ما_قالتها أربع وعشرين ساعة على هلجوال	Other
مره ثانيه ان شاءالله #تصريفه_دايم_تقولها	Other
والله لعيب بس ما اخذ فرصته	Other
مبروك وجدان تستاهلي اكثر شاهدين لك يارب	Hijazi
انا والله مو موّنسني في حياتي الا نوره ,فعاليات اليوم لاتقدر بثمن	Hijazi
يحطط الملك سلمان عذر الزلابه يعنني وطني	Hijazi
